epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.486,1.4932,3.09752,1.68449,0.34796,0.3904,0.29453,0.14174,1.79247,2.51549,2.10969,0.000331852,0.000331852,0.000331852
2,292.613,1.5539,2.47835,1.71527,0.35268,0.41152,0.32425,0.15182,1.80587,2.5576,2.08544,0.000643234,0.000643234,0.000643234
3,428.168,1.56023,2.2765,1.71106,0.41028,0.43709,0.37216,0.17469,1.81448,2.30759,2.13781,0.000932616,0.000932616,0.000932616
4,563.915,1.55432,2.14536,1.72412,0.50979,0.51952,0.45795,0.2296,1.78535,1.98891,2.02773,0.000901,0.000901,0.000901
5,699.208,1.52422,2.01918,1.69579,0.51929,0.52355,0.47288,0.23249,1.73735,1.98441,2.00952,0.000868,0.000868,0.000868
6,833.288,1.48022,1.88003,1.65458,0.52921,0.37498,0.37568,0.1932,1.93649,2.56746,2.33333,0.000835,0.000835,0.000835
7,968.995,1.45357,1.84375,1.62642,0.59336,0.53261,0.5385,0.28073,1.67098,1.79515,1.91547,0.000802,0.000802,0.000802
8,1104.66,1.43217,1.73316,1.5999,0.58548,0.56092,0.55168,0.29782,1.64938,1.7201,1.89458,0.000769,0.000769,0.000769
9,1240.49,1.41558,1.67791,1.60143,0.61755,0.59317,0.58552,0.30827,1.59363,1.67411,1.83997,0.000736,0.000736,0.000736
10,1375.97,1.39413,1.6333,1.57414,0.67049,0.61436,0.61438,0.33108,1.57101,1.56177,1.80515,0.000703,0.000703,0.000703
11,1511.39,1.37951,1.60154,1.57035,0.57482,0.60246,0.58002,0.3116,1.60211,1.72729,1.82813,0.00067,0.00067,0.00067
12,1646.74,1.35657,1.54358,1.54312,0.66545,0.61753,0.64221,0.34967,1.54772,1.48713,1.79069,0.000637,0.000637,0.000637
13,1782.13,1.34388,1.51037,1.53503,0.6609,0.61864,0.63067,0.34656,1.54459,1.49638,1.78445,0.000604,0.000604,0.000604
14,1917.6,1.30975,1.48426,1.51752,0.66099,0.6398,0.6515,0.36645,1.5421,1.46188,1.76833,0.000571,0.000571,0.000571
15,2053.29,1.30324,1.44786,1.50844,0.67288,0.61666,0.65231,0.37259,1.52526,1.43675,1.75145,0.000538,0.000538,0.000538
16,2189.26,1.27905,1.42283,1.49728,0.68216,0.67626,0.67635,0.39434,1.45604,1.39102,1.68124,0.000505,0.000505,0.000505
17,2325.41,1.27694,1.3835,1.48109,0.6842,0.67333,0.68577,0.39413,1.45461,1.35925,1.66639,0.000472,0.000472,0.000472
18,2461.28,1.25882,1.3637,1.4717,0.73053,0.69086,0.72097,0.42217,1.43993,1.28796,1.65968,0.000439,0.000439,0.000439
19,2596.86,1.24013,1.32851,1.45944,0.67739,0.70004,0.70861,0.41854,1.42065,1.25283,1.6566,0.000406,0.000406,0.000406
20,2732.35,1.21914,1.28477,1.43749,0.72871,0.70848,0.72918,0.43095,1.39537,1.22602,1.62933,0.000373,0.000373,0.000373
21,2891.51,1.28558,1.24803,1.56645,0.72136,0.68502,0.71231,0.42232,1.43153,1.28391,1.65268,0.00034,0.00034,0.00034
22,3026.5,1.23727,1.16476,1.5406,0.74929,0.7059,0.73811,0.44818,1.37836,1.20338,1.61829,0.000307,0.000307,0.000307
23,3161.57,1.2046,1.1092,1.51018,0.76003,0.71887,0.75715,0.46837,1.35815,1.14194,1.59598,0.000274,0.000274,0.000274
24,3296.5,1.19893,1.08048,1.49794,0.74284,0.72807,0.7589,0.47175,1.33753,1.10892,1.58449,0.000241,0.000241,0.000241
25,3432.94,1.16204,1.0383,1.47824,0.75533,0.73651,0.75982,0.47742,1.33086,1.09662,1.57826,0.000208,0.000208,0.000208
26,3571.65,1.15471,1.00538,1.45692,0.79359,0.72199,0.78233,0.48849,1.33305,1.07478,1.57149,0.000175,0.000175,0.000175
27,3710.07,1.12993,0.97825,1.45409,0.76017,0.7602,0.78295,0.50381,1.28257,1.04272,1.53896,0.000142,0.000142,0.000142
28,3844.87,1.10246,0.93867,1.41954,0.76725,0.76182,0.78848,0.4973,1.31191,1.02765,1.5511,0.000109,0.000109,0.000109
29,3979.52,1.08555,0.9147,1.4151,0.77112,0.75362,0.78635,0.50186,1.29282,1.01749,1.53978,7.6e-05,7.6e-05,7.6e-05
30,4114.2,1.06804,0.90398,1.39793,0.78075,0.75507,0.79483,0.50921,1.27946,1.01277,1.53121,4.3e-05,4.3e-05,4.3e-05
