epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.209,1.53147,3.14971,1.73774,0.3711,0.41572,0.33384,0.15898,1.82833,2.8081,2.0978,0.000332593,0.000332593,0.000332593
2,953.596,1.58089,2.59319,1.74926,0.39905,0.47841,0.37193,0.17517,1.72827,2.61946,2.01006,0.000659333,0.000659333,0.000659333
3,1378.88,1.6202,2.43482,1.80454,0.36269,0.40385,0.31858,0.14297,1.87779,2.70835,2.19312,0.000979474,0.000979474,0.000979474
4,1832.84,1.63556,2.31764,1.80568,0.50722,0.41493,0.39216,0.18654,1.81638,2.62497,2.12683,0.0009703,0.0009703,0.0009703
5,2275.79,1.60238,2.20755,1.75855,0.4541,0.44533,0.401,0.19561,1.78377,2.30173,2.06668,0.0009604,0.0009604,0.0009604
6,2426.63,1.54785,2.08687,1.71233,0.51904,0.5125,0.48679,0.24353,1.7689,1.9949,2.03466,0.0009505,0.0009505,0.0009505
7,2723.9,1.50521,1.9738,1.68676,0.51835,0.52758,0.49681,0.24574,1.7821,1.98176,2.04734,0.0009406,0.0009406,0.0009406
8,3117.88,1.49538,1.91111,1.68932,0.55256,0.55477,0.52772,0.27229,1.69971,1.88258,1.97001,0.0009307,0.0009307,0.0009307
9,3502.44,1.4704,1.85583,1.65202,0.55707,0.55284,0.52826,0.28132,1.62582,1.90445,1.90559,0.0009208,0.0009208,0.0009208
10,3881.17,1.44312,1.7928,1.63116,0.60014,0.59338,0.57357,0.30862,1.59094,1.74349,1.84529,0.0009109,0.0009109,0.0009109
11,4234.24,1.45756,1.7803,1.648,0.59657,0.59076,0.57307,0.3155,1.55363,1.69918,1.80792,0.000901,0.000901,0.000901
12,4590.78,1.43435,1.72675,1.62553,0.63147,0.59757,0.59803,0.32978,1.57164,1.65082,1.83139,0.0008911,0.0008911,0.0008911
13,4986.29,1.39694,1.73901,1.59334,0.58652,0.59706,0.582,0.32983,1.53301,1.62467,1.80884,0.0008812,0.0008812,0.0008812
14,5376.46,1.39436,1.67905,1.59945,0.60659,0.62547,0.60257,0.32757,1.57941,1.70756,1.86436,0.0008713,0.0008713,0.0008713
15,5639.42,1.39269,1.6555,1.58894,0.64744,0.61545,0.61427,0.34518,1.55879,1.61574,1.83961,0.0008614,0.0008614,0.0008614
16,5782.07,1.37628,1.61466,1.57428,0.61183,0.61688,0.59586,0.34018,1.50396,1.63011,1.76615,0.0008515,0.0008515,0.0008515
17,5924.98,1.37138,1.63665,1.57852,0.67955,0.63343,0.63689,0.35886,1.48048,1.52397,1.736,0.0008416,0.0008416,0.0008416
18,6067.94,1.37949,1.59795,1.57693,0.67679,0.64329,0.64234,0.3628,1.4945,1.49129,1.7357,0.0008317,0.0008317,0.0008317
19,6211.03,1.3451,1.5682,1.55803,0.6573,0.64015,0.63376,0.36427,1.49728,1.49959,1.77263,0.0008218,0.0008218,0.0008218
20,6353.79,1.31627,1.54006,1.54292,0.66146,0.61694,0.63206,0.35767,1.51181,1.52192,1.75325,0.0008119,0.0008119,0.0008119
21,6496.27,1.33567,1.5355,1.54179,0.68608,0.63185,0.66067,0.3616,1.54862,1.49374,1.78317,0.000802,0.000802,0.000802
22,6639.2,1.32808,1.52404,1.55465,0.64004,0.65047,0.65399,0.36904,1.48477,1.47856,1.76381,0.0007921,0.0007921,0.0007921
23,6782.02,1.33155,1.50453,1.54554,0.65275,0.66098,0.65754,0.37364,1.48089,1.48817,1.71322,0.0007822,0.0007822,0.0007822
24,6925.05,1.30787,1.46635,1.53166,0.69904,0.66905,0.68109,0.39966,1.43491,1.38936,1.68626,0.0007723,0.0007723,0.0007723
25,7067.58,1.28953,1.44121,1.52484,0.67496,0.68,0.68327,0.38942,1.46822,1.43238,1.73387,0.0007624,0.0007624,0.0007624
26,7210.59,1.30321,1.45879,1.5321,0.71227,0.64603,0.69099,0.40736,1.45555,1.41159,1.71561,0.0007525,0.0007525,0.0007525
